cvsin_type_2  
Start(mV):      5.000000E+02
End(mV):        5.000000E+02
Max(mV):       -5.000000E+02
Min(mV):       -5.000000E+02
Freq1(Hz):      1.800000E+01
Amp1(mV):       0.000000E+00
Phase1(deg):    0.000000E+00
Freq2(Hz):      1.000000E+00
Amp2(mV):       0.000000E+00
Phase2(deg):    0.000000E+00
Freq3(Hz):      1.000000E+00
Amp3(mV):       0.000000E+00
Phase3(deg):    0.000000E+00
Freq4(Hz):      1.000000E+00
Amp4(mV):       0.000000E+00
Phase4(deg):    0.000000E+00
Freq5(Hz):      1.000000E+00
Amp5(mV):       0.000000E+00
Phase5(deg):    0.000000E+00
Freq6(Hz):      1.000000E+00
Amp6(mV):       0.000000E+00
Phase6(deg):    0.000000E+00
Freq7(Hz):      1.000000E+00
Amp7(mV):       0.000000E+00
Phase7(deg):    0.000000E+00
Freq8(Hz):      1.000000E+00
Amp8(mV):       0.000000E+00
Phase8(deg):    0.000000E+00
Type(0-4):      4 
Rate(mV/s):     1.000000E+03
Direction:      c 
Scans:  1
Average:        19
Gain(0-4):      1 
Initial(mV):    5.000000E+02
Initial(mS):    1.000000E+04
Pre(mV):        0.000000E+00
Pre(ms):        0.000000E+00
Post(mV):       0.000000E+00
Post(ms):       0.000000E+00
 5.000000E-01  -0.000000E+00   0.000000E+00
 4.995117E-01  -4.763751E-10   4.882812E-04
 4.990234E-01  -7.236077E-10   9.765625E-04
 4.985352E-01  -6.813973E-10   1.464844E-03
 4.980469E-01  -7.175777E-10   1.953125E-03
 4.975586E-01  -7.175777E-10   2.441406E-03
 4.970703E-01  -7.477280E-10   2.929688E-03
 4.965820E-01  -7.416979E-10   3.417969E-03
 4.960938E-01  -7.597881E-10   3.906250E-03
 4.956055E-01  -7.839084E-10   4.394531E-03
 4.951172E-01  -7.959685E-10   4.882812E-03
 4.946289E-01  -8.200888E-10   5.371094E-03
 4.941406E-01  -8.321489E-10   5.859375E-03
 4.936523E-01  -8.381790E-10   6.347656E-03
 4.931641E-01  -8.622992E-10   6.835938E-03
 4.926758E-01  -8.803894E-10   7.324219E-03
 4.921875E-01  -8.864195E-10   7.812500E-03
 4.916992E-01  -9.045097E-10   8.300781E-03
 4.912109E-01  -9.286299E-10   8.789062E-03
 4.907227E-01  -9.587803E-10   9.277344E-03
 4.902344E-01  -9.648103E-10   9.765625E-03
 4.897461E-01  -9.708404E-10   1.025391E-02
 4.892578E-01  -1.000991E-09   1.074219E-02
 4.887695E-01  -1.013051E-09   1.123047E-02
 4.882812E-01  -1.037171E-09   1.171875E-02
 4.877930E-01  -1.061291E-09   1.220703E-02
 4.873047E-01  -1.073351E-09   1.269531E-02
 4.868164E-01  -1.103502E-09   1.318359E-02
 4.863281E-01  -1.121592E-09   1.367188E-02
 4.858398E-01  -1.145712E-09   1.416016E-02
 4.853516E-01  -1.169833E-09   1.464844E-02
 4.848633E-01  -1.199983E-09   1.513672E-02
 4.843750E-01  -1.224103E-09   1.562500E-02
 4.838867E-01  -1.224103E-09   1.611328E-02
 4.833984E-01  -1.260283E-09   1.660156E-02
 4.829102E-01  -1.290434E-09   1.708984E-02
 4.824219E-01  -1.314554E-09   1.757812E-02
 4.819336E-01  -1.326614E-09   1.806641E-02
 4.814453E-01  -1.356765E-09   1.855469E-02
 4.809570E-01  -1.386915E-09   1.904297E-02
 4.804688E-01  -1.411035E-09   1.953125E-02
 4.799805E-01  -1.441185E-09   2.001953E-02
 4.794922E-01  -1.483396E-09   2.050781E-02
 4.790039E-01  -1.501486E-09   2.099609E-02
 4.785156E-01  -1.537666E-09   2.148438E-02
