cvsin_type_2  
Start(mV):      5.000000E+02
End(mV):        5.000000E+02
Max(mV):       -5.000000E+02
Min(mV):       -5.000000E+02
Freq1(Hz):      1.800000E+02
Amp1(mV):       0.000000E+00
Phase1(deg):    0.000000E+00
Freq2(Hz):      1.000000E+00
Amp2(mV):       0.000000E+00
Phase2(deg):    0.000000E+00
Freq3(Hz):      1.000000E+00
Amp3(mV):       0.000000E+00
Phase3(deg):    0.000000E+00
Freq4(Hz):      1.000000E+00
Amp4(mV):       0.000000E+00
Phase4(deg):    0.000000E+00
Freq5(Hz):      1.000000E+00
Amp5(mV):       0.000000E+00
Phase5(deg):    0.000000E+00
Freq6(Hz):      1.000000E+00
Amp6(mV):       0.000000E+00
Phase6(deg):    0.000000E+00
Freq7(Hz):      1.000000E+00
Amp7(mV):       0.000000E+00
Phase7(deg):    0.000000E+00
Freq8(Hz):      1.000000E+00
Amp8(mV):       0.000000E+00
Phase8(deg):    0.000000E+00
Type(0-4):      4 
Rate(mV/s):     1.000000E+03
Direction:      c 
Scans:  1
Average:        19
Gain(0-4):      1 
Initial(mV):    5.000000E+02
Initial(mS):    1.000000E+04
Pre(mV):        0.000000E+00
Pre(ms):        0.000000E+00
Post(mV):       0.000000E+00
Post(ms):       0.000000E+00
 5.000000E-01  -0.000000E+00   0.000000E+00
 4.998779E-01  -8.273376E-15   1.220703E-04
 4.997559E-01  -7.557411E-16   2.441406E-04
 4.996338E-01  -2.287111E-15   3.662109E-04
 4.995117E-01  -2.147896E-15   4.882812E-04
 4.993896E-01  -1.630810E-15   6.103516E-04
 4.992676E-01  -1.471706E-15   7.324219E-04
 4.991455E-01  -1.372267E-15   8.544922E-04
 4.990234E-01  -1.292715E-15   9.765625E-04
 4.989014E-01  -1.233051E-15   1.098633E-03
 4.987793E-01  -1.173388E-15   1.220703E-03
 4.986572E-01  -1.153500E-15   1.342773E-03
 4.985352E-01  -1.093836E-15   1.464844E-03
 4.984131E-01  -1.054060E-15   1.586914E-03
 4.982910E-01  -1.054060E-15   1.708984E-03
 4.981689E-01  -9.943962E-16   1.831055E-03
 4.980469E-01  -9.943962E-16   1.953125E-03
 4.979248E-01  -9.546204E-16   2.075195E-03
 4.978027E-01  -9.347324E-16   2.197266E-03
 4.976807E-01  -8.949566E-16   2.319336E-03
 4.975586E-01  -9.347324E-16   2.441406E-03
 4.974365E-01  -8.750687E-16   2.563477E-03
 4.973145E-01  -8.750687E-16   2.685547E-03
 4.971924E-01  -8.750687E-16   2.807617E-03
 4.970703E-01  -8.750687E-16   2.929688E-03
 4.969482E-01  -8.352928E-16   3.051758E-03
 4.968262E-01  -8.352928E-16   3.173828E-03
 4.967041E-01  -8.352928E-16   3.295898E-03
 4.965820E-01  -8.352928E-16   3.417969E-03
 4.964600E-01  -8.154049E-16   3.540039E-03
 4.963379E-01  -8.154049E-16   3.662109E-03
 4.962158E-01  -7.955170E-16   3.784180E-03
 4.960938E-01  -8.154049E-16   3.906250E-03
 4.959717E-01  -7.955170E-16   4.028320E-03
 4.958496E-01  -7.955170E-16   4.150391E-03
 4.957275E-01  -7.756290E-16   4.272461E-03
 4.956055E-01  -7.557411E-16   4.394531E-03
 4.954834E-01  -7.756290E-16   4.516602E-03
 4.953613E-01  -7.955170E-16   4.638672E-03
 4.952393E-01  -7.756290E-16   4.760742E-03
 4.951172E-01  -7.756290E-16   4.882812E-03
 4.949951E-01  -7.756290E-16   5.004883E-03
 4.948730E-01  -7.358532E-16   5.126953E-03
 4.947510E-01  -7.756290E-16   5.249023E-03
 4.946289E-01  -7.557411E-16   5.371094E-03
 4.945068E-01  -7.159653E-16   5.493164E-03
 4.943848E-01  -7.756290E-16   5.615234E-03
 4.942627E-01  -7.557411E-16   5.737305E-03
 4.941406E-01  -7.756290E-16   5.859375E-03
 4.940186E-01  -7.358532E-16   5.981445E-03
 4.938965E-01  -7.557411E-16   6.103516E-03
 4.937744E-01  -7.358532E-16   6.225586E-03
 4.936523E-01  -7.756290E-16   6.347656E-03
 4.935303E-01  -7.557411E-16   6.469727E-03
 4.934082E-01  -7.358532E-16   6.591797E-03
 4.932861E-01  -7.557411E-16   6.713867E-03
 4.931641E-01  -7.358532E-16   6.835938E-03
 4.930420E-01  -7.358532E-16   6.958008E-03
 4.929199E-01  -7.358532E-16   7.080078E-03
 4.927979E-01  -7.557411E-16   7.202148E-03
 4.926758E-01  -7.358532E-16   7.324219E-03
 4.925537E-01  -7.358532E-16   7.446289E-03
 4.924316E-01  -7.358532E-16   7.568359E-03
 4.923096E-01  -7.358532E-16   7.690430E-03
 4.921875E-01  -7.358532E-16   7.812500E-03
 4.920654E-01  -7.358532E-16   7.934570E-03
 4.919434E-01  -7.557411E-16   8.056641E-03
 4.918213E-01  -7.756290E-16   8.178711E-03
 4.916992E-01  -7.358532E-16   8.300781E-03
 4.915771E-01  -7.756290E-16   8.422852E-03
 4.914551E-01  -7.358532E-16   8.544922E-03
 4.913330E-01  -7.557411E-16   8.666992E-03
